"name","name"
"Baltringue","Baltringue"
"Crétin","Crétin"
"Abruti","Abruti"
"Connard","Connard"
"Fils De Pute","Fils De Pute"
"Couillon","Couillon"
"Tête De Noeud","Tête De Noeud"
"Enfoiré","Enfoiré"
"Empaffé","Empaffé"
"Gros Naze","Gros Naze"
"Grosse Truie Violette","Grosse Truie Violette"
"Tafiole","Tafiole"
"Tarlouze","Tarlouze"
"Loboto","Loboto"
"Mange Merde","Mange Merde"
"Suce Boules","Suce Boules"
"Enculé","Enculé"
"Tête De Chibre","Tête De Chibre"
"Bite Molle","Bite Molle"
"Face De Cul","Face De Cul"
"Sale Pute","Sale Pute"
"Pétasse","Pétasse"
"Raclure De Chiotte","Raclure De Chiotte"
"Pourriture","Pourriture"
"Tête De Con","Tête De Con"
"Con","Con"
"Radasse","Radasse"
"Pouffiasse","Pouffiasse"
"Faquin","Faquin"
"Débile","Débile"
"Geudin","Geudin"
"Crétin Des Alpes","Crétin Des Alpes"
"Chinois De Paravent","Chinois De Paravent"
"Fils De Con","Fils De Con"
"Fesse D'huitre","Fesse D'huitre"
"Pendard","Pendard"
"Pétassoïde Conassiforme","Pétassoïde Conassiforme"
"Couille De Moineau","Couille De Moineau"
"Conchieur","Conchieur"
"Tartignole","Tartignole"
"Foutriquet","Foutriquet"
"Décérébré","Décérébré"
"Résidu De Fausse Couche","Résidu De Fausse Couche"
"Pine D'huitre","Pine D'huitre"
"Pinailleur","Pinailleur"
"Connasse","Connasse"
"Boudin","Boudin"
"Avorton","Avorton"
"Paltoquet","Paltoquet"
"Fiente","Fiente"
"étron","étron"
"Merde Molle","Merde Molle"
"Minable","Minable"
"Minus","Minus"
"Moins Que Rien","Moins Que Rien"
"Va Nu Pieds","Va Nu Pieds"
"Clitosaure De Brontoris","Clitosaure De Brontoris"
"Infame Raie De Cul","Infame Raie De Cul"
"Dugland","Dugland"
"Baraki","Baraki"
"Enculeur De Mouches","Enculeur De Mouches"
"Grosse Merde Puante","Grosse Merde Puante"
"Pute Borgne","Pute Borgne"
"Chiure De Pigeon","Chiure De Pigeon"
"Petite Merde","Petite Merde"
"Gougnafier","Gougnafier"
"Merdasse","Merdasse"
"Bachibouzouk","Bachibouzouk"
"Ducon","Ducon"
"Hurluberlu","Hurluberlu"
"Salope","Salope"
"Zonard","Zonard"
"Bubon Puant","Bubon Puant"
"Chien Galeux","Chien Galeux"
"Ordure Purulente","Ordure Purulente"
"Jobastre","Jobastre"
"Jobard","Jobard"
"Barjot","Barjot"
"Putréfaction","Putréfaction"
"Suintance","Suintance"
"Kroumir","Kroumir"
"Wisigoth","Wisigoth"
"Lèche-cul","Lèche-cul"
